Line,1,2,3,4,5,6,7,8,9,10,11,12
t32,-625.4691188215851,-1342.6874115156563,-2327.249146174965,-412.03839631926405,3600.0,-6929.826109840349,3636.11630674016,1783.1572108007801,1504.8572108007802,5342.55721080078,-4520.0,248.1647515616496
t33,-870.1081480468512,-1600.0,-2030.7680129947025,-359.423239642676,3600.0,-6572.847834770984,3623.599985872451,2126.422861494391,1850.3936580094482,5685.4644545245055,-4520.0,280.4647515616498
t34,-873.2491475476139,-1600.0,-2045.6326360879057,-369.89937479595176,3600.0,-6489.537323058277,3683.859327605166,2290.7847737980487,2019.8486027661193,5857.51243173419,-4520.0,271.3647515616494
t35,-894.0939279229949,-1600.0,-2304.0848711913823,-238.00437479595166,3600.0,-6555.225845632197,3720.128341117489,2278.88059901054,2024.595040901113,5867.309482791686,-4520.0,234.36475156164943
t36,-907.8768134344093,-1600.0,-2302.135243215086,-368.29937479595173,3600.0,-6655.843956584016,3747.2768273352413,2227.676586702703,1977.4525374910818,5828.928488279461,-4520.0,186.06475156164925
t37,-916.8834719823544,-1600.0,-2238.879941731944,-445.52,3600.0,-6703.357135872361,3750.472743622398,2195.5055535045876,1944.6214862804882,5799.637419056388,-4520.0,155.26475156164906
t38,-898.2106699690551,-1600.0,-2154.7825496384958,-305.025,3600.0,-6574.219926593939,3731.0500279227913,2288.65641810567,2035.5200424762202,5881.38366684677,-4520.0,215.86475156164943
t39,-879.9341399137801,-1600.0,-1994.3645548783688,-348.87974354169756,3600.0,-6383.756596007367,3684.883685553254,2407.451204791716,2146.8346665898453,5974.053376826326,-4516.935248438351,300.0
t40,-864.4667554631973,-1600.0,-2071.5025234436016,-237.88597847668768,3600.0,-6310.946891434144,3616.6613114638085,2607.3679784774695,2332.248368124411,6049.364006209704,-4424.135248438351,300.0
t41,-799.2007735742599,-1600.0,-2078.6180545787684,-199.80320394666614,-3600.0,867.0784252467835,-3650.5990984586465,3014.6619525676388,2713.597864672048,6202.469025214808,-4238.735248438351,300.0
t42,-478.2603616708549,-1341.8784320714003,-1910.5737262757393,-198.72277111521564,3600.0,-6212.053769729933,3487.666828956651,3512.15721080078,3176.05721080078,6382.492459239131,-4003.9352484383508,300.0
t43,-722.3725723510519,-1571.1908650451232,-2125.1027327568518,-197.32277111521566,3600.0,-6436.582776211046,3486.066828956651,3401.55721080078,3056.55721080078,6232.89245923913,-3980.53524843835,300.0
t44,-791.3817073059287,-1600.0,-2107.7118677117287,-205.6227711152156,3600.0,-6406.091911165923,3513.7844176135736,3160.9572108007787,2818.757210800779,6081.09245923913,-4052.235248438351,300.0
t45,-836.0817073059287,-1600.0,-2033.250028079802,-215.54517791121532,-3600.0,880.247521670004,-3631.1327463525836,2810.75721080078,2486.9572108007796,5877.292459239131,-4152.135248438351,300.0
t46,-903.1817073059287,-1600.0,-2288.3645840043364,-298.125,3600.0,-6691.638820413947,3622.697219170937,2330.25721080078,2033.2572108007798,5628.192459239131,-4315.83524843835,300.0
t47,-987.6817073059287,-1600.0,-2698.3823817192415,-416.12,-3600.0,-23.622381719241048,-3476.9896,1614.6572108007797,1358.9572108007796,5222.45721080078,-4520.0,273.56475156164925
t48,-991.7079124941952,-1600.0,-3197.3999999999996,-557.0000000000001,3600.0,-7896.719999999999,3816.7103999999995,891.0572108007805,664.1572108007804,4581.35721080078,-4520.0,38.46475156164979
t49,-1101.0617073059288,-1600.0,-3199.8999999999996,-530.1,3600.0,-7814.5199999999995,3573.82018803761,749.292459239131,523.8924592391309,4492.792459239131,-4520.0,300.0
t50,-1094.6617073059288,-1600.0,-3107.849579141574,-552.9957914157302,3600.0,-7726.965370557305,3173.2399273072742,495.5924592391305,278.2924592391305,4272.39245923913,-4520.0,300.0
t51,-1096.9018651803956,-1600.0,-3139.0381603680735,-585.881603680736,3600.0,-7967.3897640488085,3277.0471926385276,347.0924592391302,139.09245923913022,4140.59245923913,-4520.0,300.0
t52,-1083.8773137627934,-1600.0,-3081.1381603680734,-559.0816036807361,3600.0,-7681.9397640488105,3862.1471926385275,261.2924592391308,74.49245923913077,4085.792459239131,-4520.0,300.0
t53,-1082.3973137627934,-1600.0,-3108.5381603680735,-560.0816036807361,3600.0,-7727.9397640488105,3855.5471926385276,311.1924592391309,110.79245923913095,4114.492459239131,-4520.0,300.0
t54,-1049.7973137627935,-1600.0,-3210.0381603680735,-562.8816036807361,3600.0,-7898.839764048809,3641.197192638527,602.2924592391307,379.99245923913077,4347.492459239131,-4520.0,300.0
t55,-965.5817073059288,-1600.0,-3216.7878167350473,-470.03978237549757,-3600.0,-696.2475991105448,-3508.2591652173915,956.0572108007802,699.8572108007802,4598.65721080078,-4520.0,50.16475156164961
t56,-694.7211300267048,-1414.439422720776,-2528.305058517608,-316.9177711152157,3600.0,-7021.942829632824,3649.673607361472,1718.9572108007796,1444.4572108007796,5282.25721080078,-4520.0,211.86475156164943
t57,-865.4006791332966,-1600.0,-2243.73811940429,-214.60437479595168,3600.0,-6641.000183015218,3624.382820615935,2054.4902775693663,1782.805268726098,5614.42025988283,-4520.0,234.76475156164906
t58,-861.5911131869603,-1600.0,-2148.6653842967753,-209.30437479595162,3600.0,-6526.198436323953,3656.6168385958754,2224.0559501169964,1962.7627203120842,5796.269490507172,-4520.0,240.76475156164906
t59,-855.3933577104684,-1600.0,-2047.6755867515767,-344.99937479595167,3600.0,-6489.815024566596,3672.7372888790396,2284.5054144937503,2030.0115845565865,5865.7177546194225,-4520.0,251.4647515616498
t60,-850.5190350487441,-1600.0,-2235.002097614911,-175.50437479595166,3600.0,-6478.7455085912625,3680.6703006870835,2326.647018975615,2077.5994923396897,5916.651965703764,-4520.0,260.26475156164906
t61,-858.272483303036,-1600.0,-2203.9875379583727,-311.5993747959517,3600.0,-6562.3558241996525,3676.0809568978457,2234.491326906748,1997.2453352152615,5855.399343523775,-4520.0,180.1647515616496
t62,-860.6314576196804,-1600.0,-2204.074568326613,-311.39937479595176,3600.0,-6589.7614758063755,3656.2753601502895,2187.6992501873915,1950.2819305307007,5811.96461087401,-4520.0,158.76475156164906
t63,-862.2595615647532,-1600.0,-2150.47461977049,-176.38474354169745,3600.0,-6492.949812917245,3640.819393110564,2251.773078169864,2002.0159155086108,5857.458752847358,-4520.0,208.06475156164925
t64,-847.4184468276659,-1600.0,-1995.525683509208,-292.5399631266455,3600.0,-6384.39676614667,3590.2072181985177,2469.4483613552547,2197.101956709602,6020.490800502299,-4512.03524843835,300.0
