Time_Index,Combined_Cycle_Natural_Gas_A,Combined_Cycle_Natural_Gas_B,Combined_Cycle_Natural_Gas_C,Combined_Cycle_Natural_Gas_D,Combined_Cycle_Natural_Gas_E,Combined_Cycle_Natural_Gas_F,Combined_Cycle_Natural_Gas_G,Combined_Cycle_Natural_Gas_J,Combined_Cycle_Natural_Gas_K,Combustion_Turbine_Fuel_Oil_2_K,Combustion_Turbine_Natural_Gas_A,Combustion_Turbine_Natural_Gas_J,Combustion_Turbine_Natural_Gas_K,Jet_Engine_Fuel_Oil_2_K,Jet_Engine_Kerosene_J,Jet_Engine_Kerosene_K,Jet_Engine_Natural_Gas_G,Jet_Engine_Natural_Gas_K,Steam_Turbine_Coal_A,Steam_Turbine_Coal_C,Steam_Turbine_Fuel_Oil_2_J,Steam_Turbine_Fuel_Oil_6_C,Steam_Turbine_Fuel_Oil_6_G,Steam_Turbine_Fuel_Oil_6_J,Steam_Turbine_Fuel_Oil_6_K,Steam_Turbine_Natural_Gas_C,Steam_Turbine_Natural_Gas_G,Steam_Turbine_Natural_Gas_J,Steam_Turbine_Natural_Gas_K
44,0.2242609582059123,0.0,0.21887949761770023,0.0,0.0,0.16040187077775853,0.4636363636363636,0.7153808414080707,0.5765975454930173,0.0,0.8245243128964059,0.006382978723404255,0.12771929824561404,0.0,0.0,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.21205821205821207
45,0.21180201608336163,0.0,0.19898136147063658,0.0,0.0,0.12818292049194527,0.5207792207792208,0.6816509260394947,0.5713076597545492,0.0,0.48625792811839325,0.0425531914893617,0.051929824561403506,0.0,0.0,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.14604989604989604
46,0.20840412277721143,0.0,0.18090874240128518,0.0,0.0,0.10393209769617183,0.7038961038961039,0.5899668833558199,0.5564959796868387,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.12110187110187111
47,0.21180201608336163,0.0,0.11957136859015317,0.0,0.0,0.03516369305387147,0.7688311688311689,0.6399484852201643,0.5057130765975455,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.11902286902286903
48,0.16536414089930906,0.0,0.06005951185673342,0.0,0.0,0.024597263121427335,0.7298701298701299,0.5749417392370907,0.4549301735082522,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.11226611226611227
49,0.07928417714350436,0.0,0.013143722959528287,0.0,0.0,0.020093538887926556,0.7727272727272727,0.582914264687845,0.44329242488362247,0.0,0.0,0.0,0.047719298245614036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.10395010395010396
50,0.07928417714350436,0.0,0.0,0.0,0.0,0.020093538887926556,0.7740259740259741,0.5691156629461548,0.3935674989420228,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.10654885654885655
51,0.07815154604145429,0.0,0.0,0.0,0.0,0.020266759050753508,0.7350649350649351,0.5608365019011408,0.3882776132035548,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005473453749315818,0.0,0.0,0.0,0.06630292147247738,0.10602910602910603
52,0.07815154604145429,0.0,0.009310137096332537,0.0,0.0,0.022865061493157805,0.6168831168831169,0.5295596712866429,0.38510368176047394,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005473453749315818,0.0,0.0,0.0,0.06630292147247738,0.10654885654885655
53,0.07815154604145429,0.0,0.04965406451377353,0.0,0.0,0.04780876494023904,0.5896103896103896,0.5053354593401203,0.3977994075327973,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005473453749315818,0.0,0.0,0.0,0.06630292147247738,0.10810810810810811
