localdatetime,datetime_issue,CENTRAL,GENESE,MHKVL,NORTH,WEST
2019-01-09T16:00:00.0,2019-01-08T00:00:00.0,239.0290538,0.890396095,409.7165545,522.4502995,367.4588283
2019-01-09T17:00:00.0,2019-01-08T00:00:00.0,241.7487765,0.836647068,392.9548784,496.1693258,366.8880477
2019-01-09T18:00:00.0,2019-01-08T00:00:00.0,227.9723233,0.816092167,372.4672269,451.6286713,359.5197074
2019-01-09T19:00:00.0,2019-01-08T00:00:00.0,224.3188112,0.846352956,364.5661582,434.7374168,354.1224387
2019-01-09T20:00:00.0,2019-01-08T00:00:00.0,228.4428179,0.890633342,357.3042546,422.3148789,359.1062826
2019-01-09T21:00:00.0,2019-01-08T00:00:00.0,237.9634434,0.88528433,341.2490458,410.5678478,356.5239657
2019-01-09T22:00:00.0,2019-01-08T00:00:00.0,232.0152927,0.877886288,327.3966197,406.5628184,346.990845
2019-01-09T23:00:00.0,2019-01-08T00:00:00.0,226.0350561,0.85280197,323.1373901,409.6041772,341.1720171
2019-01-10T00:00:00.0,2019-01-08T00:00:00.0,234.1948602,0.841888246,326.336314,403.1772065,345.2547018
2019-01-10T01:00:00.0,2019-01-08T00:00:00.0,233.8165726,0.846741192,335.5257852,388.5774071,342.522057
2019-01-10T02:00:00.0,2019-01-09T00:00:00.0,231.7923844,0.911080407,384.639046,403.6075561,325.2880536
2019-01-10T03:00:00.0,2019-01-09T00:00:00.0,236.0960482,0.933792173,425.4369493,407.6421488,328.8305453
2019-01-10T04:00:00.0,2019-01-09T00:00:00.0,240.0996986,0.93443923,439.5804731,414.665941,326.3718329
2019-01-10T05:00:00.0,2019-01-09T00:00:00.0,245.7005999,0.940758837,439.6120898,436.8236273,330.0876224
2019-01-10T06:00:00.0,2019-01-09T00:00:00.0,245.1363702,0.940996089,428.2326459,456.7723297,328.9085174
2019-01-10T07:00:00.0,2019-01-09T00:00:00.0,245.3388481,0.946862761,419.136244,472.1984143,327.6200155
2019-01-10T08:00:00.0,2019-01-09T00:00:00.0,241.47669,0.946000012,413.4313231,495.0575372,321.9427599
2019-01-10T09:00:00.0,2019-01-09T00:00:00.0,236.0582747,0.925854918,403.2117844,522.5664867,311.8666465
2019-01-10T10:00:00.0,2019-01-09T00:00:00.0,239.439952,0.879698057,421.1257363,541.9792908,312.8803623
2019-01-10T11:00:00.0,2019-01-09T00:00:00.0,226.2312225,0.807205892,425.9688259,556.0588946,295.1288
