NYISO Name,PTID,Zone,Facility Name,Facility ID,Unit ID,Unit Type,Fuel Type, Operating Time, Gross Load (MWh), Heat Input (MMBtu), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr),Name Plate Rating (MW),2018 Net Energy (GWh),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Combined
Holtsville 04,23693,K,Holtsville Facility,8007,U00004,Jet Engine,Fuel Oil 2,33,230,3968.8,40.8153,-73.0664,416,56.7,2.7,52.7,67,51.2,63.8,0
Holtsville 05,23694,K,Holtsville Facility,8007,U00005,Jet Engine,Fuel Oil 2,80,534,9332.7,40.8153,-73.0664,416,56.7,1.8,55.3,70.3,53.8,63.3,0
Holtsville 06,23695,K,Holtsville Facility,8007,U00006,Jet Engine,Fuel Oil 2,80,534,9332.7,40.8153,-73.0664,416,56.7,12.6,53,67.4,51.9,61.6,0
Holtsville 07,23696,K,Holtsville Facility,8007,U00007,Jet Engine,Fuel Oil 2,85,577,10304,40.8153,-73.0664,416,56.7,4.4,55.1,70.1,52.1,63.6,0
Holtsville 08,23697,K,Holtsville Facility,8007,U00008,Jet Engine,Fuel Oil 2,85,576,10286.2,40.8153,-73.0664,416,56.7,5.7,57.4,73,53,64,0
Holtsville 09,23698,K,Holtsville Facility,8007,U00009,Jet Engine,Fuel Oil 2,60,393,6851.6,40.8153,-73.0664,416,56.7,4,57.5,73.1,53,68.1,0
Holtsville 10,23699,K,Holtsville Facility,8007,U00010,Jet Engine,Fuel Oil 2,60,393,6851.6,40.8153,-73.0664,416,56.7,7.8,55.1,70.1,53.8,65.1,0
Greenport GT1,23814,K,"Hawkeye Energy Greenport, LLC",55969,U-01,Jet Engine,Fuel Oil 2,642.33,31760.59,313598.485,41.1056,-72.3767,625,54,24.1,51.9,52.4,53.4,56.1,0
Far Rockaway GT2,23815,K,Bayswater Peaking Facility,55699,2,Jet Engine,Kerosene,166.99,8267.41,89162.667,40.6106,-73.7614,560,60.5,9.5,55.4,75.7,54.4,54.4,0
Far Rockaway GT1,24212,K,Bayswater Peaking Facility,55699,1,Jet Engine,Natural Gas,2308.71,126793.7,1364364.19,40.6106,-73.7614,650,60.5,140.8,53.5,73.1,55.1,58.6,0
Somerset,23543,A,Somerset Operating Company  (Kintigh),6082,1,Steam Turbine,Coal,1137.25,376367.67,3548075.135,43.3561,-78.6039,6280,655.1,593,686.5,686.5,685.9,692.5,0
American Ref-Fuel 1,24010,A,Covanta Niagara,50472,R1B01,Steam Turbine,Refuse,2224,0,364659.175,43.0839,-79.0056,440,25,107.2,19.6,19.6,15.6,16.1,0
American Ref-Fuel 2,24010,A,Covanta Niagara,50472,R1B02,Steam Turbine,Refuse,0,0,0,43.0839,-79.0056,440,25,107.2,19.6,19.6,15.6,16.1,0
Cayuga 1,23584,C,"Cayuga Operating Company, LLC",2535,1,Steam Turbine,Coal,1433.48,95767.61,1052001.449,42.6028,-76.6336,1980,155.3,81.6,154.1,154.1,151,151,0
Cayuga 2  (IIFO - 7/1/18),23585,C,"Cayuga Operating Company, LLC",2535,2,Steam Turbine,Coal,0,0,0,42.6028,-76.6336,2072,167.2,17.4,154.7,154.7,0,0,0
