Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_A,Demand_MW_B,Demand_MW_C,Demand_MW_D,Demand_MW_E,Demand_MW_F,Demand_MW_G,Demand_MW_H,Demand_MW_I,Demand_MW_J,Demand_MW_K
,,,,,,,108,1804.7,1130.3,1884.3,606.2,953.8,1374.9,1135.3,336.9,684.4,5608.0,2292.8
,,,,,,,109,1793.6,1127.0,1835.1,609.5,931.1,1366.0,1149.1,332.7,680.7,5663.0,2306.8
,,,,,,,110,1795.7,1122.2,1822.3,604.5,912.1,1346.6,1143.1,336.6,678.7,5641.6,2320.1
,,,,,,,111,1789.7,1127.4,1819.7,605.2,903.9,1320.3,1134.1,331.8,681.9,5629.9,2331.4
,,,,,,,112,1799.9,1134.4,1848.7,610.3,911.0,1325.8,1130.5,329.4,686.4,5646.9,2329.8
,,,,,,,113,1844.0,1175.3,1929.6,586.5,947.7,1387.8,1166.3,340.0,714.4,5736.3,2439.9
,,,,,,,114,1925.5,1228.5,2024.5,599.1,1010.3,1472.4,1219.8,352.8,742.4,5842.0,2578.9
,,,,,,,115,1924.9,1214.9,2003.9,622.8,1017.7,1462.9,1214.3,354.3,740.4,5830.9,2561.9
,,,,,,,116,1903.2,1183.7,1968.3,615.4,988.2,1422.9,1188.5,337.5,714.6,5748.6,2489.0
,,,,,,,117,1877.5,1152.2,1929.2,603.9,965.2,1388.6,1156.4,337.3,697.5,5616.2,2415.2
,,,,,,,118,1822.1,1104.6,1856.7,589.4,912.8,1333.2,1112.8,325.9,675.3,5476.8,2322.1
,,,,,,,119,1738.4,1040.4,1768.9,580.4,851.8,1257.8,1054.3,305.2,654.4,5271.8,2196.6
,,,,,,,120,1649.0,974.1,1694.7,572.4,807.1,1189.3,986.0,290.0,610.2,5030.3,2040.9
,,,,,,,121,1569.6,920.6,1635.4,564.0,754.9,1128.9,925.6,273.5,571.9,4777.4,1901.1
,,,,,,,122,1520.4,887.5,1590.2,559.2,710.7,1091.8,894.5,254.4,543.5,4572.5,1807.8
,,,,,,,123,1499.1,868.0,1551.0,555.7,687.8,1072.8,861.1,255.7,528.9,4415.7,1745.4
,,,,,,,124,1483.1,860.6,1537.9,552.4,682.7,1070.6,843.4,256.2,516.3,4330.4,1719.4
,,,,,,,125,1484.4,862.6,1544.0,554.4,692.8,1077.2,848.8,250.6,514.5,4306.0,1715.2
,,,,,,,126,1503.3,884.9,1587.5,558.5,719.2,1093.0,868.5,253.0,523.1,4332.0,1741.0
,,,,,,,127,1560.4,928.0,1647.4,571.0,758.3,1131.4,902.5,264.2,539.3,4450.3,1799.7
,,,,,,,128,1612.7,980.0,1728.6,585.3,819.6,1179.4,945.5,277.9,563.1,4606.6,1862.9
,,,,,,,129,1634.0,1013.0,1790.2,598.2,874.6,1238.5,1008.4,289.5,591.9,4834.9,1952.8
,,,,,,,130,1677.1,1045.3,1829.3,611.8,909.4,1280.9,1056.6,307.3,618.3,5083.7,2058.6
,,,,,,,131,1719.0,1065.1,1875.7,624.4,935.1,1274.6,1075.1,303.7,638.9,5289.1,2136.9
,,,,,,,132,1735.0,1082.8,1892.8,627.9,938.2,1240.2,1061.6,301.2,617.1,5370.8,2065.1
,,,,,,,133,1748.2,1105.0,1905.7,634.6,939.0,1256.8,1054.5,305.5,630.6,5379.2,1990.9
,,,,,,,134,1743.8,1110.4,1907.9,638.6,957.0,1253.0,1053.7,307.2,632.0,5390.3,2062.4
,,,,,,,135,1744.3,1115.4,1910.1,639.9,963.4,1321.0,1078.6,308.5,636.3,5401.0,2075.9
,,,,,,,136,1748.7,1132.6,1935.9,615.6,985.6,1391.9,1113.6,314.7,645.5,5444.3,2173.1
,,,,,,,137,1797.5,1181.7,2028.5,656.9,1055.4,1490.4,1189.7,332.2,680.3,5592.5,2358.2
,,,,,,,138,1919.2,1274.6,2116.6,677.6,1136.3,1571.4,1279.9,372.7,741.1,5840.7,2609.7
,,,,,,,139,1937.3,1273.3,2136.2,675.1,1148.3,1569.4,1284.7,382.4,755.8,5907.5,2641.9
,,,,,,,140,1919.3,1239.8,2110.7,658.1,1127.3,1536.9,1263.3,375.1,742.7,5869.5,2600.1
,,,,,,,141,1891.0,1205.0,2063.2,662.5,1097.4,1494.0,1228.4,370.4,727.1,5784.8,2531.9
,,,,,,,142,1849.6,1149.4,1981.1,634.0,1030.5,1413.4,1169.4,349.4,695.5,5654.1,2419.4
,,,,,,,143,1774.0,1082.1,1879.1,632.5,959.6,1324.9,1093.5,329.3,646.3,5415.4,2257.2
,,,,,,,144,1700.6,1022.1,1799.3,612.6,896.6,1248.6,1018.3,305.9,604.0,5110.8,2087.6
,,,,,,,145,1658.8,987.8,1758.6,616.6,866.9,1200.8,967.5,282.3,572.3,4864.5,1948.2
,,,,,,,146,1633.1,973.6,1732.4,606.7,842.8,1177.7,939.1,278.2,545.3,4710.9,1886.3
,,,,,,,147,1628.8,967.9,1718.4,621.7,849.6,1171.9,933.5,274.6,533.3,4608.5,1846.5
,,,,,,,148,1631.7,974.3,1725.1,622.5,863.6,1179.9,934.1,280.3,527.6,4576.0,1842.6
,,,,,,,149,1655.2,1005.6,1775.1,630.1,888.9,1215.9,959.4,288.3,539.6,4646.0,1894.0
,,,,,,,150,1736.6,1085.0,1910.2,649.5,975.4,1309.3,1025.6,311.8,581.8,4921.4,2039.2
,,,,,,,151,1887.1,1210.3,2127.9,687.0,1094.2,1464.1,1138.3,356.5,661.7,5462.3,2287.4
,,,,,,,152,2009.8,1296.2,2215.5,673.2,1149.4,1548.3,1202.2,384.5,730.8,6002.6,2439.2
,,,,,,,153,2025.1,1307.5,2204.9,665.9,1152.0,1536.2,1209.9,376.8,738.6,6315.9,2434.7
,,,,,,,154,2040.5,1318.2,2213.1,663.5,1156.5,1521.1,1222.8,368.8,739.4,6480.2,2395.4
,,,,,,,155,2051.1,1328.5,2215.5,684.5,1140.0,1496.9,1214.2,373.4,746.5,6552.5,2384.9
,,,,,,,156,2062.8,1338.3,2205.4,675.9,1129.0,1479.6,1192.2,365.7,738.3,6577.5,2341.5
,,,,,,,157,2048.6,1336.7,2176.7,686.3,1108.1,1500.4,1158.5,358.5,725.9,6566.1,2295.9
,,,,,,,158,2051.5,1341.7,2188.7,683.8,1100.9,1504.8,1161.3,352.0,722.0,6568.7,2310.3
,,,,,,,159,2025.6,1341.8,2173.8,678.1,1105.9,1519.1,1186.6,354.5,726.4,6553.7,2395.5
,,,,,,,160,2008.4,1351.8,2184.5,675.7,1122.4,1558.3,1225.2,373.4,748.7,6649.4,2508.1
,,,,,,,161,2044.7,1396.6,2276.7,660.7,1182.4,1654.8,1300.7,395.6,788.9,6794.6,2700.5
,,,,,,,162,2119.8,1447.1,2366.8,671.0,1225.7,1740.6,1371.1,425.7,822.7,6912.7,2890.0
,,,,,,,163,2092.0,1425.9,2354.2,691.0,1222.1,1732.6,1372.1,433.7,830.2,6762.8,2897.8
,,,,,,,164,2058.1,1382.4,2310.2,688.1,1207.3,1699.2,1347.2,433.1,811.3,6618.9,2823.7
,,,,,,,165,1987.4,1319.3,2220.0,677.9,1160.9,1632.0,1303.6,412.4,779.8,6403.1,2725.6
,,,,,,,166,1938.0,1239.5,2112.1,660.4,1106.8,1529.1,1230.2,390.9,732.8,6138.8,2563.6
,,,,,,,167,1838.4,1159.8,1969.0,606.3,1019.0,1419.9,1136.9,352.9,673.1,5770.4,2345.1
,,,,,,,168,1728.9,1077.2,1865.4,590.8,959.3,1325.4,1049.1,312.6,620.5,5324.7,2128.1
,,,,,,,169,1642.1,1021.9,1797.2,603.3,906.8,1260.8,987.5,283.4,578.0,4955.3,1974.4
,,,,,,,170,1597.2,986.3,1751.4,620.0,877.7,1228.5,952.7,277.3,553.4,4718.5,1883.8
,,,,,,,171,1571.0,971.2,1729.6,617.0,868.5,1214.3,937.4,273.4,539.9,4581.5,1827.3
,,,,,,,172,1544.3,967.9,1718.5,610.9,867.7,1213.6,929.7,270.1,533.8,4530.8,1811.4
,,,,,,,173,1554.9,981.1,1741.2,617.8,885.6,1223.1,942.3,275.8,537.5,4577.1,1837.3
,,,,,,,174,1614.2,1042.9,1820.9,629.7,952.3,1300.8,992.8,299.8,574.0,4821.5,1946.3
,,,,,,,175,1738.9,1151.6,1981.3,652.3,1071.0,1432.9,1074.7,329.7,645.6,5324.1,2161.7
,,,,,,,176,1834.7,1227.2,2110.6,660.5,1133.7,1507.0,1148.3,352.4,716.4,5848.6,2312.4
,,,,,,,177,1840.9,1224.7,2122.4,661.8,1147.2,1507.0,1201.2,363.8,725.0,6152.7,2355.3
,,,,,,,178,1840.1,1217.9,2092.5,658.5,1150.3,1498.8,1221.3,359.1,730.0,6306.8,2379.8
,,,,,,,179,1849.3,1228.0,2087.4,642.9,1140.2,1490.4,1210.8,352.4,744.7,6388.6,2389.3
,,,,,,,180,1861.8,1234.4,2091.1,622.5,1105.9,1457.1,1202.6,346.7,745.6,6430.2,2395.1
,,,,,,,181,1882.7,1224.0,2063.5,631.5,1073.7,1441.5,1196.9,344.2,739.8,6435.9,2388.2
,,,,,,,182,1882.9,1236.9,2055.1,633.3,1044.4,1435.6,1180.1,337.9,735.5,6436.8,2369.1
,,,,,,,183,1859.1,1240.0,2051.1,610.7,1048.7,1435.7,1172.9,335.1,733.6,6412.3,2355.1
,,,,,,,184,1841.4,1226.1,2063.2,595.5,1043.3,1454.8,1188.7,333.7,737.1,6415.9,2376.1
,,,,,,,185,1873.1,1238.3,2112.6,620.2,1087.1,1524.1,1247.8,351.5,759.5,6518.7,2502.0
,,,,,,,186,1945.6,1304.2,2181.0,638.1,1119.3,1603.5,1310.1,376.7,789.6,6622.4,2670.3
,,,,,,,187,1941.7,1291.1,2178.1,647.6,1109.3,1593.4,1300.7,388.3,792.2,6478.7,2679.9
,,,,,,,188,1909.7,1252.8,2136.9,640.7,1074.8,1547.7,1267.6,381.9,775.1,6314.4,2606.5
,,,,,,,189,1878.7,1207.9,2073.6,632.1,1040.8,1488.5,1226.8,369.4,740.8,6105.1,2512.1
,,,,,,,190,1826.5,1147.0,1957.8,617.6,979.1,1400.4,1157.9,340.7,707.2,5824.1,2362.9
,,,,,,,191,1744.1,1072.0,1837.0,599.4,917.1,1296.0,1070.2,315.1,650.4,5480.9,2153.9
,,,,,,,192,1651.1,996.3,1732.2,584.5,856.3,1220.0,992.6,277.7,586.8,5082.9,1947.7
,,,,,,,193,1596.6,954.3,1669.0,572.3,792.5,1154.0,934.1,256.9,551.0,4749.5,1807.5
,,,,,,,194,1554.4,935.5,1638.2,571.0,784.9,1126.9,899.6,245.2,525.6,4540.3,1723.0
,,,,,,,195,1535.5,925.7,1621.9,566.6,785.8,1115.3,881.6,240.5,512.0,4431.1,1677.4
,,,,,,,196,1536.0,927.2,1617.7,567.3,797.6,1118.7,875.3,240.8,506.2,4391.7,1671.4
,,,,,,,197,1556.7,949.6,1650.6,572.3,832.4,1148.7,889.5,250.3,513.8,4437.3,1716.3
,,,,,,,198,1640.7,1020.7,1759.8,588.2,913.3,1216.7,947.8,279.9,551.6,4686.2,1848.0
,,,,,,,199,1784.4,1145.9,1977.5,614.8,1040.8,1348.1,1050.6,319.8,631.4,5245.9,2091.6
,,,,,,,200,1874.4,1232.2,2094.9,596.8,1091.7,1422.9,1113.8,339.8,693.9,5767.2,2239.4
,,,,,,,201,1868.6,1242.4,2095.4,610.4,1092.2,1440.0,1128.5,335.0,692.4,6040.9,2229.8
,,,,,,,202,1891.6,1252.1,2101.6,617.6,1087.9,1450.6,1136.4,328.3,694.0,6190.7,2179.8
,,,,,,,203,1909.0,1266.8,2112.5,613.2,1103.9,1450.9,1138.2,329.0,700.9,6234.7,2140.1
,,,,,,,204,1909.3,1267.9,2127.6,618.2,1113.4,1446.9,1135.1,323.5,692.9,6279.6,2128.5
,,,,,,,205,1909.7,1262.3,2118.5,618.6,1097.7,1441.6,1127.3,319.5,693.6,6303.0,2117.2
,,,,,,,206,1914.2,1262.1,2123.9,618.2,1102.1,1439.8,1119.8,322.2,706.2,6314.8,2167.4
,,,,,,,207,1909.3,1264.4,2101.1,604.8,1104.8,1425.3,1121.7,323.8,710.6,6309.3,2242.2
,,,,,,,208,1909.3,1267.5,2120.1,617.6,1105.0,1455.0,1145.3,335.2,721.8,6366.5,2361.0
,,,,,,,209,1955.8,1308.4,2181.7,607.6,1158.6,1535.6,1215.0,354.8,743.6,6516.6,2527.4
