Zone,1,2,3,4,5,6,7,8,9,10,11
t163,-0.0,-0.0,46.747998513410444,46.72929931400508,46.747998513410444,46.747998513410444,46.747998513410444,46.747998513410444,46.747998513410444,46.747998513410444,46.747998513410444
t164,-0.0,-0.0,46.69192335124177,-0.0,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.76670519548864,46.76670519548864,46.76670519548864
t165,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,46.78541936323392,46.78541936323392,46.78541936323392
t166,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,46.80414101964178,46.80414101964178,46.80414101964178
t167,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t168,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t169,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t170,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t171,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t173,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
