region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
K,CombinedCycle_NaturalGas_K_New,11,1,39,0.0,0.0,0.0,0.0,0.0,0.0,9.508011963983697e-11,5.594520225920117e-10,0.0,0.0,0.0,0.0,8.170376740786847e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.170376740786847e-10,6.545321422318486e-10,1.6250553184683605e-10
K,CombustionTurbine_FuelOil2_K_Existing,11,1,40,0.0,0.0,0.0,1.9051868757707924e7,0.0,0.0,116490.71924709315,2.9572043250993653e6,0.0,0.0,0.0,0.0,1.0009449407846485e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0009449407846485e8,2.212556380205438e7,7.796893027641048e7
K,CombustionTurbine_FuelOil2_K_New,11,1,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,CombustionTurbine_NaturalGas_K_Existing,11,1,42,0.0,0.0,0.0,2.5383207189050984e7,0.0,0.0,1.6832355428336987e6,8.901627367448168e6,0.0,0.0,0.0,0.0,1.462030435791518e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462030435791518e8,3.596807009933285e7,1.1023497347981897e8
K,CombustionTurbine_NaturalGas_K_New,11,1,43,9.522656025136149e7,0.0,0.0,9.831704283521581e6,0.0,0.0,1.005015146839837e6,5.341773439941725e6,0.0,0.0,0.0,0.0,1.1140505312166454e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1140505312166454e8,1.1140505312166463e8,-8.940696716308594e-8
K,SteamTurbine_NaturalGas_K_Existing,11,1,44,0.0,0.0,0.0,4.9594689534409046e8,0.0,0.0,9.332612547883876e6,2.1626535234276645e7,0.0,0.0,0.0,0.0,9.543357896647185e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.543357896647185e8,5.26906043126251e8,4.274297465384675e8
B,Nuclear_B_Existing,2,1,45,0.0,0.0,0.0,0.0,0.0,0.0,1.693906168568687e-11,0.0,0.0,0.0,0.0,0.0,3.0789488966939665e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0789488966939665e-11,1.693906168568687e-11,1.3850427281252795e-11
B,Nuclear_B_New,2,1,46,0.0,0.0,0.0,0.0,0.0,0.0,-3.2646356189166736e-10,0.0,0.0,0.0,0.0,0.0,-7.870196709594922e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.870196709594922e-10,-3.2646356189166736e-10,-4.6055610906782484e-10
C,Nuclear_C_Existing,3,1,47,0.0,0.0,0.0,0.0,0.0,0.0,-7.12365939429276e-11,0.0,0.0,0.0,0.0,0.0,-9.5868476828492e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5868476828492e-11,-7.12365939429276e-11,-2.46318828855644e-11
C,Nuclear_C_New,3,1,48,0.0,0.0,0.0,0.0,0.0,0.0,-6.656230340117709e-9,0.0,0.0,0.0,0.0,0.0,-1.3213945435954807e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3213945435954807e-8,-6.656230340117709e-9,-6.557715095837099e-9
