BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t36,10992.121153226488,0.0,-0.0,0.0,0.0,0.0,0.0,-1329.0605766132444,-13.06057661324424,-9650.0,2755.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2755.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1329.0605766132444,-13.06057661324424,-1316.0
t37,10974.061606524603,0.0,-0.0,0.0,0.0,0.0,0.0,-1326.0308032623022,-13.030803262302195,-9635.0,2751.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2751.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1326.0308032623022,-13.030803262302195,-1313.0
t38,10902.902815319578,0.0,-0.0,0.0,0.0,0.0,0.0,-1317.95140765979,-12.95140765979007,-9572.0,2734.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2734.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1317.95140765979,-12.95140765979007,-1305.0
t39,10868.823419717068,0.0,-0.0,0.0,0.0,0.0,0.0,-1313.911709858534,-12.911709858534008,-9542.0,2725.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2725.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1313.911709858534,-12.911709858534008,-1301.0
t40,11034.220397729629,0.0,-0.0,0.0,0.0,0.0,0.0,-1334.1101988648143,-13.110198864814315,-9687.0,2766.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2766.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1334.1101988648143,-13.110198864814315,-1321.0
t41,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-1116.5520867020275,-16.433843475164245,-10596.0,3369.881756773136,0.0,-0.0,0.0,0.0,0.0,0.0,-341.77881955141066,-2.1029372217260365,-3026.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1458.3309062534381,-14.330906253438208,-1444.0
t42,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-189.81651568587176,-24.169414491319923,-11515.0,4693.352898805449,0.0,-0.0,0.0,0.0,0.0,0.0,-1395.7648713071324,-8.588027498315775,-3289.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1585.5813869930041,-15.581386993004147,-1570.0
t43,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-291.6691446751263,-23.31678550206693,-11414.0,4547.64764082694,0.0,-0.0,0.0,0.0,0.0,0.0,-1279.7733000134817,-7.874340813459002,-3260.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1571.442444688608,-15.44244468860793,-1556.0
t44,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-569.9786826062613,-21.00724757092967,-11138.0,4151.0285649646685,0.0,-0.0,0.0,0.0,0.0,0.0,-964.096557420728,-5.932007543940309,-3181.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1534.0752400269891,-15.075240026989361,-1519.0
t45,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-1023.7714151607352,-17.2145150164565,-10688.0,3502.443099855721,0.0,-0.0,0.0,0.0,0.0,0.0,-447.6885089467852,-2.75459090893609,-3052.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1471.4599241075205,-14.459924107520408,-1457.0
