Resource,CombinedCycle_NaturalGas_NY_Existing,CombinedCycle_NaturalGas_NY_New,CombustionTurbine_NaturalGas_NY_Existing,CombustionTurbine_NaturalGas_NY_New,SteamTurbine_NaturalGas_NY_Existing,SteamTurbine_NaturalGas_NY_New,SteamTurbine_FuelOil6_NY_Existing,SteamTurbine_FuelOil6_NY_New,CombustionTurbine_FuelOil2_NY_Existing,CombustionTurbine_FuelOil2_NY_New,Nuclear_NY_Existing,Nuclear_NY_New,Total
t4985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4987,0.0,0.0,0.0,358.5550360811594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.5550360811594
t4988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4989,0.0,0.0,0.0,1934.9650422362429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.9650422362429
t4990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4991,0.0,0.0,0.0,3020.7683229076033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020.7683229076033
t4992,0.0,0.0,0.0,1580.9714070743887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.9714070743887
t4993,0.0,0.0,505.5634664300919,925.1332553330243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.6967217631163
t4994,0.0,0.0,1192.009230436848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.009230436848
t4995,0.0,0.0,268.42730313306015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.42730313306015
t4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5011,0.0,0.0,0.0,131.98610084508346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.98610084508346
t5012,0.0,0.0,0.0,635.1464861480181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.1464861480181
t5013,0.0,0.0,0.0,184.43222983453416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.43222983453416
t5014,0.0,0.0,0.0,364.7563873670406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.7563873670406
t5015,0.0,0.0,0.0,1452.468347658948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.468347658948
t5016,0.0,0.0,0.0,1974.1677583136197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.1677583136197
t5017,0.0,0.0,0.0,1818.248309470263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818.248309470263
t5018,0.0,0.0,139.42349627165504,1099.2505077079013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.6740039795563
t5019,0.0,0.0,891.5329034397138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.5329034397138
t5020,0.0,0.0,438.6289019902951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.6289019902951
t5021,0.0,0.0,25.837767554834443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.837767554834443
t5022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
