BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t118,17531.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17531.7
t119,16720.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16720.0
t120,15844.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15844.0
t121,15022.899999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15022.9
t122,14432.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14432.5
t123,14041.199999999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14041.199999999999
t124,13853.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13853.0
t125,13850.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13850.5
t126,14064.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14064.0
t127,14552.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14552.5
t128,15161.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15161.6
t129,15826.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15826.0
t130,16478.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16478.3
t131,16937.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16937.6
t132,16932.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16932.7
t133,16950.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16950.0
t134,17056.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17056.3
t135,17266.743353037396,0.0,-72.34335303739542,0.0,0.0,0.0,0.0,0.0,0.0,-17194.4
t136,17606.500000000004,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-17501.5
t137,18468.3,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18363.3
