Resource,Battery_NY_Existing,Battery_NY_New,Hydro_NY,PumpedHydro_NY,Total
t82,0.0,0.0,6180.986377347566,1882.5531077891424,8063.539485136709
t83,0.0,0.0,6064.617832238093,1834.2977970102281,7898.915629248321
t84,0.0,0.0,6103.44928712862,1786.042486231314,7889.491773359934
t85,0.0,0.0,6385.980742019148,1737.7871754523997,8123.767917471548
t86,0.0,0.0,6683.312196909676,1689.5318646734854,8372.84406158316
t87,35.264745320871484,0.0,6942.11240688621,1641.2765538945712,8618.653706101652
t88,131.85063942274314,0.0,6965.043861776736,1593.021243115657,8689.915744315136
t89,228.39789916697404,0.0,6375.375316667263,1544.7659323367427,8148.539148170979
t90,114.17610522469856,0.0,5699.937090218947,1496.5106215578285,7310.623817001473
t91,0.0,0.0,5024.49886377063,1448.2553107789142,6472.754174549545
t92,0.0,0.0,4384.230318661155,1400.0,5784.230318661155
t93,0.0,0.0,4248.561773551683,844.8685451094734,5093.430318661156
t94,0.0,0.0,3423.985629440069,651.7446892210858,4075.7303186611543
t95,0.0,0.0,1622.285629440068,1351.7446892210858,2974.0303186611536
t96,0.0,0.0,1385.1856294400695,651.7446892210858,2036.9303186611553
t97,0.0,0.0,1428.7303186611553,0.0,1428.7303186611553
t98,0.0,0.0,1111.2303186611553,0.0,1111.2303186611553
t99,0.0,0.0,655.0,293.0303186611545,948.0303186611545
t100,0.0,0.0,0.0,993.0303186611545,993.0303186611545
t101,0.0,0.0,0.0,1291.6303186611567,1291.6303186611567
t102,0.0,0.0,1207.930318661156,700.0,1907.930318661156
t103,0.0,0.0,2650.3303186611574,0.0,2650.3303186611574
t104,0.0,0.0,2682.1303186611567,700.0,3382.1303186611567
t105,0.0,0.0,4114.430318661156,0.0,4114.430318661156
t106,0.0,0.0,3834.2303186611553,796.5106215578285,4630.740940218984
t107,0.0,0.0,3321.5303186611545,1448.2553107789142,4769.785629440069
t108,0.0,0.0,3304.5303186611545,1400.0,4704.5303186611545
t109,0.0,0.0,3281.6856294400695,1351.7446892210858,4633.430318661155
t110,0.0,0.0,3233.485629440069,1351.7446892210858,4585.230318661154
t111,0.0,0.0,4008.29126476849,1351.7446892210858,5360.035953989575
t112,0.0,0.0,4945.567408880104,796.5106215578285,5742.078030437933
t113,0.0,0.0,4716.398863770632,1448.2553107789142,6164.654174549546
t114,0.0,0.0,4458.830318661157,1400.0,5858.830318661157
t115,0.0,0.0,4248.561773551683,1221.2685451094749,5469.830318661157
t116,0.0,0.0,4248.561773551683,800.5685451094741,5049.130318661157
t117,0.0,0.0,3089.8856294400703,1351.7446892210858,4441.630318661156
t118,0.0,0.0,2278.1856294400695,1351.7446892210858,3629.930318661155
t119,0.0,0.0,1402.1856294400695,1351.7446892210858,2753.930318661155
t120,0.0,0.0,1281.0856294400674,651.7446892210858,1932.8303186611531
t121,0.0,0.0,1342.430318661156,0.0,1342.430318661156
t122,0.0,0.0,888.1999999999971,62.93031866115598,951.1303186611531
t123,0.0,0.0,0.0,762.930318661156,762.930318661156
t124,0.0,0.0,0.0,760.430318661156,760.430318661156
t125,0.0,0.0,0.0,973.930318661156,973.930318661156
t126,0.0,0.0,1188.5,273.930318661156,1462.430318661156
t127,0.0,0.0,2071.5303186611545,0.0,2071.5303186611545
t128,0.0,0.0,2035.930318661156,700.0,2735.930318661156
t129,0.0,0.0,3388.2303186611553,0.0,3388.2303186611553
t130,0.0,0.0,3847.5303186611545,0.0,3847.5303186611545
t131,0.0,0.0,3842.6303186611567,0.0,3842.6303186611567
t132,0.0,0.0,3859.930318661156,0.0,3859.930318661156
t133,0.0,0.0,4248.561773551683,0.0,4248.561773551683
t134,0.0,0.0,4530.89322844221,876.2326226031987,5407.125851045408
t135,66.55588479440378,0.0,5302.78133029534,1527.9773118242845,6897.314526914029
t136,163.12926244048603,0.0,6321.613543115579,1593.021243115657,8077.764048671722
t137,259.66401073550986,0.0,6591.944998006106,1544.7659323367427,8396.374941078358
t138,145.429710348607,0.0,5916.50677155779,1496.5106215578285,7558.447103464225
t139,31.241103681858885,0.0,5241.068545109473,1448.2553107789142,6720.564959570246
t140,0.0,0.0,4565.630318661157,1400.0,5965.630318661157
t141,0.0,0.0,4248.561773551683,1007.1685451094727,5255.730318661155
t142,0.0,0.0,3996.661773551681,307.1685451094727,4303.830318661154
