BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t35,6017.541005940807,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,7346.586622433976,-50.51771522478206,-11119.0,11646.28396214788,1638.8275867338793,-4172.809329731759,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3176.0,1464.0054251999484,1663.76185189264,-150.9651585838311,0.0,0.0,0.0,0.0,-1446.5866224339752,-14.215496074782056,-1516.0
t36,6390.787304653386,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,6953.477268169909,-46.65465967329468,-11103.0,11452.563887074064,1732.6876242707879,-4078.9492921948513,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3170.0,4392.556719169675,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-1053.4772681699087,-10.352440523294678,-1514.0
t37,5651.050296345198,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,7592.493843478891,-52.93422667408804,-10996.0,4376.229665255687,5255.854735179977,-555.7821812856627,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3140.0,1695.32915769417,1663.76185189264,-150.9651585838311,0.0,0.0,0.0,0.0,-1692.4938434788905,-16.63200752408803,-1499.0
t38,4406.333001543521,1422.7895653782386,-771.8203477717607,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-10921.0,14866.93913561564,0.0,-5811.636916465639,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3119.0,3303.7270104764716,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-0.0,-0.0,-1489.0
t39,4021.2644218762443,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,9043.53902797089,-67.1935366971343,-10803.0,13920.58819942325,456.17546809619427,-5355.461448369445,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3085.0,3134.633652209216,1663.76185189264,-150.9651585838311,0.0,0.0,0.0,0.0,-3143.5390279708904,-30.8913175471343,-1473.0
t40,2207.3887439698665,1006.0213553347919,-1188.5885578152077,0.0,0.0,0.0,0.0,8848.454918588719,-65.27646007817006,-10808.0,6255.35762668011,4289.290754467764,-1522.3461619978743,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3086.0,6266.15616999336,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-2948.4549185887186,-28.974240928170065,-1474.0
t41,449.24667627848845,1610.9865750107551,-583.6233381392443,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11301.0,7550.047612009918,3712.4457618028605,-2099.191154662778,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3227.0,4066.5110006911914,1663.76185189264,-150.9651585838311,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1540.0
t42,0.0,2194.6099131499996,-0.0,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-12019.0,11198.41981082391,1990.7596623958646,-3820.8772540697737,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3432.0,7493.03470447647,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1639.0
t43,0.0,2144.6099131499996,-49.99999999999982,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11919.0,3528.665302684362,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3404.0,4141.581306636761,1668.7266989198552,-146.00031155661608,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1625.0
t44,0.0,1955.6099131499996,-238.9999999999999,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11541.0,13233.628737350356,905.1551991326417,-4906.481717332997,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3296.0,7428.034704476471,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1574.0
t45,0.0,1683.6099131499993,-511.0000000000001,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10997.0,13858.22522786354,514.8569538760497,-5296.77996258959,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3140.0,3723.580683523529,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1499.0
t46,0.0,1283.6099131499989,-911.0000000000005,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10197.0,3036.665302684362,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2912.0,7244.034704476471,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1390.0
t47,0.0,782.1099131499998,-1412.4999999999995,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-9194.0,12566.288911131855,903.3251122418924,-4908.311804223747,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2625.0,3477.5806835235285,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1253.0
t48,0.0,702.713942374047,-1491.8959707759525,0.0,0.0,0.0,0.0,9142.346538950664,-68.16451054875795,-8285.0,14038.595007695514,37.67206396006229,-5773.964852505576,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2366.0,6218.935840825892,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-3242.346538950663,-31.862291398757936,-1130.0
t49,0.0,38.60991314999973,-2155.9999999999995,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-7707.0,6082.250170101487,3933.3444827570765,-1878.292433708562,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2201.0,3274.580683523529,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1050.0
t50,0.0,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,9608.353841814442,-72.74392866444161,-7341.0,2221.665302684362,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2097.0,6559.522561805354,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-3708.3538418144412,-36.44170951444161,-1000.0
t51,0.0,1335.2544607161078,-859.3554524338915,0.0,0.0,0.0,0.0,6730.565110672128,-44.46411895434403,-7162.0,13792.939135615637,0.0,-5811.636916465639,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2045.0,0.0,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-830.5651106721273,-8.161899804344028,-976.0
t52,0.0,1723.4560661499993,-471.15384700000004,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-7116.0,2156.665302684362,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2032.0,0.0,1392.3635052382358,-422.36350523823563,0.0,0.0,0.0,0.0,-0.0,-0.0,-970.0
t53,0.0,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,9586.135503907533,-72.52559075753328,-7319.0,8033.782804754614,2902.0781654305133,-2909.5587510351256,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2090.0,2905.6318650385947,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-3686.1355039075324,-36.223371607533274,-998.0
t54,0.0,2162.4560661499995,-32.15384700000001,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-7994.0,2407.665302684362,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2283.0,2904.727010476471,0.0,-1814.727010476471,0.0,0.0,0.0,0.0,-0.0,-0.0,-1090.0
t55,0.0,853.6099131499992,-1341.0000000000002,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-9337.0,6664.641504793314,3874.6488154111626,-1936.9881010544761,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2666.0,4055.0648211419,1535.9849416672853,-278.74206880918587,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1273.0
t56,0.0,2194.6099131499996,-0.0,0.0,0.0,0.0,0.0,7939.736641940497,-56.346555090496146,-10078.0,3002.665302684362,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2878.0,5248.507988357464,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-2039.7366419404964,-20.044335940496147,-1374.0
t57,1702.4084574763774,1951.8996413368768,-242.71027181312257,0.0,0.0,0.0,0.0,6786.415125780153,-45.012952780284444,-10153.0,13370.62567148853,638.6567320635552,-5172.980184402084,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2900.0,2137.5781374594503,978.1373662137291,-836.5896442627421,0.0,0.0,0.0,0.0,-886.4151257801532,-8.710733630284443,-1384.0
