Zone,1,2,3,Total
t239,1467.5806894210593,0.0,0.0,1467.5806894210593
t240,2320.392036337821,0.0,0.0,2320.392036337821
t241,1109.4277967185096,0.0,0.0,1109.4277967185096
t242,1109.4277967185096,0.0,0.0,1109.4277967185096
t243,1651.2735550030725,0.0,0.0,1651.2735550030725
t244,2370.5722152104904,0.0,0.0,2370.5722152104904
t245,2370.5722152104904,0.0,0.0,2370.5722152104904
t246,2370.5722152104904,0.0,0.0,2370.5722152104904
t247,2370.5722152104904,0.0,0.0,2370.5722152104904
t248,2370.5722152104904,0.0,0.0,2370.5722152104904
t249,2370.5722152104904,0.0,0.0,2370.5722152104904
t250,1490.2257470948286,0.0,0.0,1490.2257470948286
t251,1109.4277967185096,0.0,0.0,1109.4277967185096
t252,1109.4277967185096,0.0,0.0,1109.4277967185096
t253,1109.4277967185096,0.0,0.0,1109.4277967185096
t254,1109.4277967185096,0.0,0.0,1109.4277967185096
t255,1109.4277967185096,0.0,0.0,1109.4277967185096
t256,1109.4277967185096,0.0,0.0,1109.4277967185096
t257,1830.6125030179107,0.0,0.0,1830.6125030179107
t258,2370.5722152104904,0.0,0.0,2370.5722152104904
t259,2370.5722152104904,0.0,0.0,2370.5722152104904
t260,2370.5722152104904,0.0,0.0,2370.5722152104904
t261,1992.0790386294066,0.0,0.0,1992.0790386294066
t262,1673.203375641172,0.0,0.0,1673.203375641172
t263,1109.4277967185096,0.0,0.0,1109.4277967185096
t264,1157.146224785624,0.0,0.0,1157.146224785624
t265,1392.596145478149,0.0,0.0,1392.596145478149
t266,1420.6457411115375,0.0,0.0,1420.6457411115375
t267,1688.707659502316,0.0,0.0,1688.707659502316
t268,2042.3798579316492,0.0,0.0,2042.3798579316492
t269,2308.31088726764,0.0,0.0,2308.31088726764
t270,2370.5722152104904,0.0,0.0,2370.5722152104904
t271,2370.5722152104904,0.0,0.0,2370.5722152104904
t272,2370.5722152104904,0.0,0.0,2370.5722152104904
t273,2370.5722152104904,0.0,0.0,2370.5722152104904
t274,890.2906156034074,0.0,0.0,890.2906156034074
t275,890.2906156034074,0.0,0.0,890.2906156034074
t276,890.2906156034074,0.0,0.0,890.2906156034074
t277,890.2906156034074,0.0,0.0,890.2906156034074
t278,890.2906156034074,0.0,0.0,890.2906156034074
t279,890.5619262310859,0.0,0.0,890.5619262310859
t280,1902.330375220956,0.0,0.0,1902.330375220956
t281,1902.330375220956,0.0,0.0,1902.330375220956
t282,1902.330375220956,0.0,0.0,1902.330375220956
t283,1902.330375220956,0.0,0.0,1902.330375220956
t284,1902.330375220956,0.0,0.0,1902.330375220956
t285,1127.9203272918467,0.0,0.0,1127.9203272918467
t286,1116.7665918291048,0.0,0.0,1116.7665918291048
t287,1014.5763891091661,0.0,0.0,1014.5763891091661
t288,412.0999240796205,0.0,0.0,412.0999240796205
t289,0.0,0.0,0.0,0.0
t290,0.0,0.0,0.0,0.0
t291,0.0,0.0,0.0,0.0
t292,0.0,0.0,0.0,0.0
t293,0.0,0.0,0.0,0.0
t294,0.0,0.0,0.0,0.0
t295,0.0,0.0,0.0,0.0
t296,0.0,0.0,0.0,0.0
t297,0.0,0.0,0.0,0.0
t298,0.0,0.0,0.0,0.0
t299,0.0,0.0,0.0,0.0
t300,0.0,0.0,0.0,0.0
t301,0.0,0.0,0.0,0.0
t302,0.0,0.0,0.0,0.0
t303,0.0,0.0,0.0,0.0
t304,0.0,0.0,0.0,0.0
t305,0.0,0.0,0.0,0.0
t306,0.0,0.0,0.0,0.0
t307,0.0,0.0,0.0,0.0
t308,0.0,0.0,0.0,0.0
t309,0.0,0.0,0.0,0.0
t310,0.0,0.0,0.0,0.0
t311,0.0,0.0,0.0,0.0
t312,0.0,0.0,0.0,0.0
t313,0.0,0.0,0.0,0.0
t314,0.0,0.0,0.0,0.0
t315,0.0,0.0,0.0,0.0
t316,0.0,0.0,0.0,0.0
t317,0.0,0.0,0.0,0.0
t318,0.0,0.0,0.0,0.0
t319,0.0,0.0,0.0,0.0
t320,0.0,0.0,0.0,0.0
t321,0.0,0.0,0.0,0.0
t322,0.0,0.0,0.0,0.0
t323,0.0,0.0,0.0,0.0
t324,0.0,0.0,0.0,0.0
t325,0.0,0.0,0.0,0.0
t326,0.0,0.0,0.0,0.0
t327,0.0,0.0,0.0,0.0
t328,0.0,0.0,0.0,0.0
t329,0.0,0.0,0.0,0.0
t330,0.0,0.0,0.0,0.0
t331,0.0,0.0,0.0,0.0
t332,0.0,0.0,0.0,0.0
t333,0.0,0.0,0.0,0.0
t334,0.0,0.0,0.0,0.0
t335,0.0,0.0,0.0,0.0
t336,0.0,0.0,0.0,0.0
t337,0.0,0.0,0.0,0.0
t338,0.0,0.0,0.0,0.0
t339,0.0,0.0,0.0,0.0
t340,0.0,0.0,0.0,0.0
t341,0.0,0.0,0.0,0.0
t342,0.0,0.0,0.0,0.0
t343,0.0,0.0,0.0,0.0
t344,0.0,0.0,0.0,0.0
t345,0.0,0.0,0.0,0.0
t346,0.0,0.0,0.0,0.0
t347,0.0,0.0,0.0,0.0
t348,0.0,0.0,0.0,0.0
t349,0.0,0.0,0.0,0.0
t350,0.0,0.0,0.0,0.0
t351,0.0,0.0,0.0,0.0
t352,0.0,0.0,0.0,0.0
t353,0.0,0.0,0.0,0.0
t354,0.0,0.0,0.0,0.0
t355,0.0,0.0,0.0,0.0
t356,0.0,0.0,0.0,0.0
t357,0.0,0.0,0.0,0.0
t358,0.0,0.0,0.0,0.0
t359,0.0,0.0,0.0,0.0
t360,0.0,0.0,0.0,0.0
t361,0.0,0.0,0.0,0.0
t362,0.0,0.0,0.0,0.0
t363,0.0,0.0,0.0,0.0
t364,0.0,0.0,0.0,0.0
t365,0.0,0.0,0.0,0.0
t366,0.0,0.0,0.0,0.0
t367,0.0,0.0,0.0,0.0
t368,0.0,0.0,0.0,0.0
t369,0.0,0.0,0.0,0.0
t370,0.0,0.0,0.0,0.0
t371,0.0,0.0,0.0,0.0
t372,0.0,0.0,0.0,0.0
t373,0.0,0.0,0.0,0.0
t374,0.0,0.0,0.0,0.0
t375,0.0,0.0,0.0,0.0
t376,0.0,0.0,0.0,0.0
t377,0.0,0.0,0.0,0.0
t378,0.0,0.0,0.0,0.0
t379,0.0,0.0,0.0,0.0
t380,0.0,0.0,0.0,0.0
t381,0.0,0.0,0.0,0.0
t382,0.0,0.0,0.0,0.0
t383,0.0,0.0,0.0,0.0
t384,0.0,0.0,0.0,0.0
t385,0.0,0.0,0.0,0.0
t386,0.0,0.0,0.0,0.0
t387,0.0,0.0,0.0,0.0
t388,0.0,0.0,0.0,0.0
t389,0.0,0.0,0.0,0.0
t390,0.0,0.0,0.0,0.0
t391,0.0,0.0,0.0,0.0
t392,0.0,0.0,0.0,0.0
t393,0.0,0.0,0.0,0.0
t394,0.0,0.0,0.0,0.0
t395,0.0,0.0,0.0,0.0
t396,0.0,0.0,0.0,0.0
t397,0.0,0.0,0.0,0.0
t398,0.0,0.0,0.0,0.0
t399,0.0,0.0,0.0,0.0
