Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,,619,36930.26171875
,,,,,,,,620,36125.578125
,,,,,,,,621,34790.88671875
,,,,,,,,622,33019.30078125
,,,,,,,,623,31135.748046875
,,,,,,,,624,29752.548828125
,,,,,,,,625,28851.501953125
,,,,,,,,626,28337.46875
,,,,,,,,627,28280.482421875
,,,,,,,,628,28582.498046875
,,,,,,,,629,29503.3671875
,,,,,,,,630,31026.849609375
,,,,,,,,631,32509.369140625
,,,,,,,,632,33914.01953125
,,,,,,,,633,34984.91015625
,,,,,,,,634,35473.31640625
,,,,,,,,635,35393.77734375
,,,,,,,,636,34838.67578125
,,,,,,,,637,34114.00390625
,,,,,,,,638,33517.15234375
,,,,,,,,639,33233.296875
,,,,,,,,640,33333.515625
,,,,,,,,641,34488.5859375
,,,,,,,,642,35668.01953125
,,,,,,,,643,35511.58984375
,,,,,,,,644,35054.89453125
,,,,,,,,645,34277.265625
,,,,,,,,646,33169.8359375
,,,,,,,,647,31981.0390625
,,,,,,,,648,31062.712890625
,,,,,,,,649,30568.517578125
,,,,,,,,650,30422.404296875
,,,,,,,,651,30685.599609375
,,,,,,,,652,31298.810546875
,,,,,,,,653,32375.056640625
,,,,,,,,654,33963.49609375
,,,,,,,,655,35307.98046875
,,,,,,,,656,36029.55078125
,,,,,,,,657,35705.39453125
,,,,,,,,658,34961.48046875
,,,,,,,,659,34153.46484375
,,,,,,,,660,33484.6640625
,,,,,,,,661,32984.66796875
,,,,,,,,662,32681.623046875004
,,,,,,,,663,32629.5390625
,,,,,,,,664,33002.45703125
,,,,,,,,665,34287.01171875
,,,,,,,,666,36334.7109375
,,,,,,,,667,36528.66015625
,,,,,,,,668,36277.78125
,,,,,,,,669,35183.0
,,,,,,,,670,33566.7265625
,,,,,,,,671,32176.546875
,,,,,,,,672,31523.654296875
,,,,,,,,673,31423.78125
,,,,,,,,674,31844.3671875
,,,,,,,,675,32842.40234375
,,,,,,,,676,35106.96484375
,,,,,,,,677,39385.05859375
,,,,,,,,678,43959.12890625
,,,,,,,,679,44133.60546875
,,,,,,,,680,42744.17578125
,,,,,,,,681,41410.84375
,,,,,,,,682,40135.0859375
,,,,,,,,683,38767.16015625
,,,,,,,,684,37663.33203125
,,,,,,,,685,36741.546875
,,,,,,,,686,35990.02734375
,,,,,,,,687,35685.23046875
,,,,,,,,688,36087.20703125
,,,,,,,,689,37993.12109375
,,,,,,,,690,40486.88671875
,,,,,,,,691,40938.7421875
,,,,,,,,692,40731.70703125
,,,,,,,,693,39447.87890625
,,,,,,,,694,37468.65234375
,,,,,,,,695,36147.04296875
