Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,705,20816.5
,,,,,,,706,20905.6
,,,,,,,707,20877.2
,,,,,,,708,20764.8
,,,,,,,709,20697.1
,,,,,,,710,20757.8
,,,,,,,711,21090.600000000002
,,,,,,,712,21616.7
,,,,,,,713,22365.0
,,,,,,,714,23469.2
,,,,,,,715,24061.7
,,,,,,,716,23879.7
,,,,,,,717,23337.9
,,,,,,,718,22524.6
,,,,,,,719,21319.100000000002
,,,,,,,720,20163.3
,,,,,,,721,19377.7
,,,,,,,722,18989.4
,,,,,,,723,18744.7
,,,,,,,724,18702.100000000002
,,,,,,,725,18917.3
,,,,,,,726,19750.4
,,,,,,,727,21275.2
,,,,,,,728,22529.300000000003
,,,,,,,729,23055.8
,,,,,,,730,23171.5
,,,,,,,731,23030.9
,,,,,,,732,22815.4
,,,,,,,733,22608.2
,,,,,,,734,22454.5
,,,,,,,735,22367.8
,,,,,,,736,22519.4
,,,,,,,737,23066.7
,,,,,,,738,24206.300000000003
,,,,,,,739,24579.7
,,,,,,,740,24245.5
,,,,,,,741,23639.5
,,,,,,,742,22693.7
,,,,,,,743,21378.2
,,,,,,,744,20141.8
,,,,,,,745,19374.399999999998
,,,,,,,746,18938.1
,,,,,,,747,18628.5
,,,,,,,748,18547.8
,,,,,,,749,18779.5
,,,,,,,750,19666.4
,,,,,,,751,21359.5
,,,,,,,752,22454.3
,,,,,,,753,22660.5
,,,,,,,754,22671.0
,,,,,,,755,22578.3
,,,,,,,756,22415.7
,,,,,,,757,22002.5
,,,,,,,758,21647.3
,,,,,,,759,21524.3
,,,,,,,760,21614.5
,,,,,,,761,22082.0
,,,,,,,762,22948.7
,,,,,,,763,23158.3
,,,,,,,764,22810.5
,,,,,,,765,22289.1
,,,,,,,766,21586.4
,,,,,,,767,20606.1
,,,,,,,768,19606.4
,,,,,,,769,18748.6
,,,,,,,770,18257.8
,,,,,,,771,17932.3
,,,,,,,772,17767.7
,,,,,,,773,17787.600000000002
,,,,,,,774,18169.8
,,,,,,,775,18852.8
,,,,,,,776,19526.5
,,,,,,,777,20169.7
,,,,,,,778,20425.9
,,,,,,,779,20449.8
,,,,,,,780,20186.5
,,,,,,,781,19967.5
,,,,,,,782,19661.9
,,,,,,,783,19463.0
,,,,,,,784,19448.2
,,,,,,,785,19839.6
,,,,,,,786,20685.3
,,,,,,,787,20869.9
,,,,,,,788,20470.5
,,,,,,,789,19978.4
,,,,,,,790,19290.9
,,,,,,,791,18365.0
,,,,,,,792,17486.8
,,,,,,,793,16610.4
,,,,,,,794,16025.300000000001
,,,,,,,795,15684.9
,,,,,,,796,15478.4
,,,,,,,797,15478.2
,,,,,,,798,15692.3
,,,,,,,799,16150.6
,,,,,,,800,16642.2
,,,,,,,801,17255.2
,,,,,,,802,17637.3
,,,,,,,803,17729.8
,,,,,,,804,17693.5
,,,,,,,805,17495.2
,,,,,,,806,17305.2
,,,,,,,807,17199.4
,,,,,,,808,17439.3
,,,,,,,809,18103.2
,,,,,,,810,19080.2
,,,,,,,811,19220.9
,,,,,,,812,18674.8
,,,,,,,813,18259.8
,,,,,,,814,17735.6
,,,,,,,815,16976.0
,,,,,,,816,15967.1
,,,,,,,817,15149.6
,,,,,,,818,14714.2
,,,,,,,819,14473.099999999999
,,,,,,,820,14392.9
,,,,,,,821,14681.599999999999
,,,,,,,822,15649.8
,,,,,,,823,17359.9
,,,,,,,824,18473.1
,,,,,,,825,18642.899999999998
,,,,,,,826,18559.5
,,,,,,,827,18374.3
,,,,,,,828,18117.6
,,,,,,,829,17940.7
,,,,,,,830,17825.6
,,,,,,,831,17821.100000000002
,,,,,,,832,17983.6
,,,,,,,833,18436.5
,,,,,,,834,19486.7
,,,,,,,835,19898.0
,,,,,,,836,19604.5
,,,,,,,837,18996.1
,,,,,,,838,18069.0
,,,,,,,839,16829.7
,,,,,,,840,15660.4
,,,,,,,841,14833.5
,,,,,,,842,14358.1
,,,,,,,843,14044.0
,,,,,,,844,13964.3
,,,,,,,845,14204.6
,,,,,,,846,15124.699999999999
,,,,,,,847,16827.9
,,,,,,,848,17911.7
,,,,,,,849,18293.0
,,,,,,,850,18463.6
,,,,,,,851,18497.0
,,,,,,,852,18260.0
,,,,,,,853,18007.6
,,,,,,,854,17918.5
,,,,,,,855,17939.5
,,,,,,,856,18153.5
,,,,,,,857,18652.9
,,,,,,,858,19567.1
,,,,,,,859,19841.399999999998
,,,,,,,860,19519.9
,,,,,,,861,18963.0
,,,,,,,862,18086.0
,,,,,,,863,17028.7
,,,,,,,864,15886.599999999999
,,,,,,,865,15073.300000000001
,,,,,,,866,14652.4
,,,,,,,867,14438.6
,,,,,,,868,14458.300000000001
,,,,,,,869,14769.0
,,,,,,,870,15756.8
,,,,,,,871,17564.7
,,,,,,,872,18617.3
,,,,,,,873,18800.6
,,,,,,,874,18762.2
,,,,,,,875,18715.7
,,,,,,,876,18779.600000000002
,,,,,,,877,18757.3
,,,,,,,878,18920.5
,,,,,,,879,19067.2
,,,,,,,880,19305.8
,,,,,,,881,19811.6
,,,,,,,882,20527.5
,,,,,,,883,20594.0
,,,,,,,884,20189.1
,,,,,,,885,19525.0
,,,,,,,886,18586.6
,,,,,,,887,17394.0
,,,,,,,888,16146.3
,,,,,,,889,15304.6
,,,,,,,890,14838.3
,,,,,,,891,14572.8
,,,,,,,892,14516.6
,,,,,,,893,14752.7
,,,,,,,894,15653.1
,,,,,,,895,17389.1
,,,,,,,896,18557.3
,,,,,,,897,18926.100000000002
,,,,,,,898,19178.3
,,,,,,,899,19271.5
,,,,,,,900,19214.600000000002
,,,,,,,901,19110.7
,,,,,,,902,19029.7
,,,,,,,903,18940.9
,,,,,,,904,19043.4
,,,,,,,905,19440.2
,,,,,,,906,20143.4
,,,,,,,907,20234.5
,,,,,,,908,19831.0
,,,,,,,909,19188.4
,,,,,,,910,18238.1
,,,,,,,911,16965.1
,,,,,,,912,15761.4
,,,,,,,913,14965.2
,,,,,,,914,14460.300000000001
,,,,,,,915,14188.199999999999
,,,,,,,916,14154.5
,,,,,,,917,14396.0
,,,,,,,918,15289.9
,,,,,,,919,17017.9
,,,,,,,920,18233.7
,,,,,,,921,18829.7
,,,,,,,922,19111.5
,,,,,,,923,19292.2
,,,,,,,924,19222.5
,,,,,,,925,19023.4
,,,,,,,926,18748.8
,,,,,,,927,18532.1
,,,,,,,928,18715.2
,,,,,,,929,19246.1
,,,,,,,930,20090.5
,,,,,,,931,20426.9
,,,,,,,932,20120.1
,,,,,,,933,19740.6
,,,,,,,934,19137.6
,,,,,,,935,18292.0
,,,,,,,936,17340.0
,,,,,,,937,16626.9
,,,,,,,938,16173.3
,,,,,,,939,15915.699999999999
,,,,,,,940,15849.7
,,,,,,,941,15920.199999999999
,,,,,,,942,16291.300000000001
,,,,,,,943,16989.4
,,,,,,,944,17735.1
,,,,,,,945,18367.2
,,,,,,,946,18722.3
,,,,,,,947,18893.3
,,,,,,,948,18848.0
,,,,,,,949,18584.2
,,,,,,,950,18351.4
,,,,,,,951,18265.1
,,,,,,,952,18362.0
,,,,,,,953,18878.1
,,,,,,,954,19767.0
